Team,Opp.,W/L
Incarnate Word,Northwestern St.,W
Illinois Chicago,Drake,W
Fairfield,Marist,L
Syracuse,Boston College,L
UC Irvine,UC Davis,L
Wyoming,Fresno St.,L
Northwestern St.,Incarnate Word,L
Quinnipiac,Merrimack,L
South Carolina St.,Norfolk St.,L
Dartmouth,Penn,L
Jackson St.,Prairie View A&M,W
Auburn,South Carolina,W
Florida St.,Wake Forest,L
West Georgia,Florida Gulf Coast,L
Bethune Cookman,Mississippi Valley S,W
Coppin St.,Maryland Eastern Sho,L
Howard,North Carolina Centr,W
Purdue,USC,W
Lehigh,Navy,L
Marshall,James Madison,W
Texas Southern,Alcorn St.,W
Drake,Illinois Chicago,L
Nebraska Omaha,Oral Roberts,W
Boston College,Syracuse,W
Stetson,Queens,L
East Texas A&M,Houston Christian,L
North Carolina Centr,Howard,L
Montana St.,Montana,W
Canisius,Mount St. Mary's,L
Austin Peay,Lipscomb,L
Lafayette,Holy Cross,W
Furman,Wofford,L
Northern Kentucky,Robert Morris,L
Southern,Grambling St.,W
Santa Clara,Saint Mary's,W
Louisiana,South Alabama,W
Georgia Southern,Coastal Carolina,L
Navy,Lehigh,W
Bucknell,Colgate,L
UC Riverside,Cal St. Fullerton,W
Florida A&M,Arkansas Pine Bluff,W
Alcorn St.,Texas Southern,L
Southern Utah,Abilene Christian,W
Bradley,Illinois St.,L
UMKC,South Dakota St.,L
James Madison,Marshall,L
Miami FL,Clemson,L
Sam Houston St.,FIU,W
Tennessee St.,Southern Indiana,W
Fresno St.,Wyoming,W
Maryland Eastern Sho,Coppin St.,W
Appalachian St.,Old Dominion,L
USC,Purdue,L
N.C. State,Georgia Tech,L
Texas St.,Southern Miss,W
Youngstown St.,Cleveland St.,L
Bellarmine,Eastern Kentucky,L
Mississippi St.,Mississippi,L
IU Indy,Detroit Mercy,L
Arkansas Pine Bluff,Florida A&M,L
Mississippi,Mississippi St.,W
Georgia St.,Louisiana Monroe,W
Seton Hall,Butler,L
Cal St. Northridge,Long Beach St.,L
Air Force,Nevada,L
Winthrop,UNC Asheville,W
Montana,Montana St.,L
Stanford,Duke,L
Cornell,Yale,L
Pittsburgh,Louisville,L
Coastal Carolina,Georgia Southern,W
Louisiana Tech,Jacksonville St.,L
North Florida,Central Arkansas,L
Detroit Mercy,IU Indy,W
Texas A&M Corpus Chr,Southeastern Louisia,W
Tennessee Tech,Morehead St.,L
Hawaii,UC Santa Barbara,L
South Carolina,Auburn,L
Tarleton St.,Utah Tech,L
Southern Illinois,Belmont,L
Southern Indiana,Tennessee St.,L
North Dakota St.,St. Thomas,W
Richmond,Saint Louis,L
Idaho,Weber St.,W
Prairie View A&M,Jackson St.,L
Tennessee Martin,Lindenwood,W
Saint Peter's,Rider,W
St. Thomas,North Dakota St.,L
Mississippi Valley S,Bethune Cookman,L
Rider,Saint Peter's,L
Valparaiso,Northern Iowa,W
North Alabama,Jacksonville,L
Southern Miss,Texas St.,L
Arkansas,Georgia,L
South Alabama,Louisiana,L
Northern Illinois,Massachusetts,W
LIU,Fairleigh Dickinson,W
Delaware St.,Morgan St.,L
Cal St. Bakersfield,UC San Diego,L
Northern Arizona,Portland St.,L
Le Moyne,Chicago St.,W
Western Kentucky,Kennesaw St.,L
Fairleigh Dickinson,LIU,L
Portland St.,Northern Arizona,W
Manhattan,Siena,L
Idaho St.,Eastern Washington,L
Cal St. Fullerton,UC Riverside,L
UNC Asheville,Winthrop,L
Massachusetts,Northern Illinois,L
Fordham,Duquesne,L
VMI,The Citadel,L
Loyola MD,Boston University,W
Oral Roberts,Nebraska Omaha,L
Seattle,Gonzaga,L
Weber St.,Idaho,L
Louisiana Monroe,Georgia St.,L
Stonehill,Mercyhurst,W
FIU,Sam Houston St.,L
Chicago St.,Le Moyne,L
Saint Mary's,Santa Clara,L
Mercyhurst,Stonehill,L
Southeast Missouri S,SIU Edwardsville,L
Holy Cross,Lafayette,L
Boston University,Loyola MD,L
Loyola Marymount,Portland,L
Northern Iowa,Valparaiso,L
Lindenwood,Tennessee Martin,L
Gardner Webb,Presbyterian,L
Southeastern Louisia,Texas A&M Corpus Chr,L
Grambling St.,Southern,L
Abilene Christian,Southern Utah,L
Houston,Arizona St.,W
Tulsa,UAB,W
Maryland,Penn St.,W
Oakland,Green Bay,W
Washington St.,San Francisco,L
Purdue Fort Wayne,Milwaukee,W
San Francisco,Washington St.,W
Wichita St.,South Florida,W
Arizona St.,Houston,L
Penn St.,Maryland,L
South Florida,Wichita St.,L
Memphis,UTSA,W
American,Army,W
Charlotte,East Carolina,W
Milwaukee,Purdue Fort Wayne,L
UAB,Tulsa,L
North Texas,Tulane,W
UTSA,Memphis,L
Army,American,L
Tulane,North Texas,L
Florida Atlantic,Temple,W
East Carolina,Charlotte,L
Temple,Florida Atlantic,L
Green Bay,Oakland,L
Montana,Northern Arizona,W
Northwestern St.,Houston Christian,L
Houston Christian,Northwestern St.,W
Providence,Marquette,L
Yale,Columbia,W
Marquette,Providence,W
Cornell,Brown,W
Siena,Fairfield,W
Sacred Heart,Rider,W
Jackson St.,Texas Southern,W
Stephen F. Austin,Nicholls St.,W
Northern Arizona,Montana,L
East Texas A&M,Incarnate Word,W
Loyola MD,Lehigh,L
Manhattan,Quinnipiac,L
Mercyhurst,Central Connecticut,W
McNeese St.,Texas A&M Corpus Chr,W
Fairfield,Siena,L
New Orleans,Lamar,W
Columbia,Yale,L
Le Moyne,LIU,W
Lehigh,Loyola MD,W
VCU,Saint Joseph's,W
Texas Southern,Jackson St.,L
Montana St.,Northern Colorado,W
Princeton,Dartmouth,L
Merrimack,Marist,W
Hampton,North Carolina A&T,W
Dartmouth,Princeton,W
UMBC,Binghamton,W
Fairleigh Dickinson,Wagner,W
NJIT,Bryant,W
Lamar,New Orleans,L
Saint Joseph's,VCU,L
Quinnipiac,Manhattan,W
Saint Peter's,Iona,W
Arkansas Pine Bluff,Bethune Cookman,L
LIU,Le Moyne,L
Alcorn St.,Prairie View A&M,W
Penn,Harvard,L
Harvard,Penn,W
Albany,Vermont,W
Bethune Cookman,Arkansas Pine Bluff,W
Northeastern,Monmouth,L
Northern Colorado,Montana St.,L
UT Rio Grande Valley,Southeastern Louisia,W
New Hampshire,Maine,W
George Mason,George Washington,W
Prairie View A&M,Alcorn St.,L
Southeastern Louisia,UT Rio Grande Valley,L
Rider,Sacred Heart,L
Mount St. Mary's,Niagara,W
George Washington,George Mason,L
Drexel,Towson,L
Niagara,Mount St. Mary's,L
North Carolina A&T,Hampton,L
Alabama A&M,Alabama St.,W
Texas A&M Corpus Chr,McNeese St.,L
Monmouth,Northeastern,W
Wagner,Fairleigh Dickinson,L
Iona,Saint Peter's,L
Central Connecticut,Mercyhurst,L
Incarnate Word,East Texas A&M,L
Chicago St.,New Haven,L
New Haven,Chicago St.,W
Binghamton,UMBC,L
Vermont,Albany,L
Nicholls St.,Stephen F. Austin,L
Towson,Drexel,W
Bryant,NJIT,L
Alabama St.,Alabama A&M,L
Saint Francis,Stonehill,W
Florida A&M,Mississippi Valley S,W
Marist,Merrimack,L
Brown,Cornell,L
Stonehill,Saint Francis,L
Mississippi Valley S,Florida A&M,L
Maine,New Hampshire,L
Arkansas,Vanderbilt,W
Texas Tech,Baylor,W
Michigan,Indiana,W
Miami OH,Kent St.,W
Iowa St.,UCF,W
UNLV,Utah St.,W
Butler,DePaul,W
N.C. State,Clemson,W
Boise St.,Wyoming,W
Purdue,UCLA,L
SMU,Wake Forest,W
Nevada,San Jose St.,W
Auburn,Mississippi,W
UCLA,Purdue,W
Kent St.,Miami OH,L
Ohio St.,Minnesota,W
South Carolina,Oklahoma,W
Indiana,Michigan,L
DePaul,Butler,L
Utah,Kansas St.,L
Michigan St.,Oregon,W
Georgia,Missouri,W
Florida,LSU,W
Colorado,Kansas,L
Baylor,Texas Tech,L
Ball St.,Central Michigan,W
Minnesota,Ohio St.,L
Toledo,Massachusetts,L
Kansas St.,Utah,W
Kansas,Colorado,W
Massachusetts,Toledo,W
Utah St.,UNLV,L
Colorado St.,Air Force,W
Akron,Buffalo,W
Seton Hall,St. John's,L
LSU,Florida,L
Vanderbilt,Arkansas,L
Saint Louis,Duquesne,W
Oklahoma,South Carolina,L
St. Bonaventure,Loyola Chicago,W
St. John's,Seton Hall,W
Central Michigan,Ball St.,L
Southeast Missouri S,Tennessee Martin,W
Clemson,N.C. State,L
UCF,Iowa St.,L
Rutgers,Iowa,L
Missouri,Georgia,L
Oklahoma St.,TCU,L
Wake Forest,SMU,L
Ohio,Northern Illinois,W
Loyola Chicago,St. Bonaventure,L
Wyoming,Boise St.,L
Oregon,Michigan St.,L
Iowa,Rutgers,W
Duquesne,Saint Louis,L
Mississippi,Auburn,L
Illinois Chicago,Evansville,W
Florida St.,Miami FL,W
Northern Illinois,Ohio,L
Bowling Green,Western Michigan,W
San Jose St.,Nevada,L
TCU,Oklahoma St.,W
Miami FL,Florida St.,L
Buffalo,Akron,L
Western Michigan,Bowling Green,L
Air Force,Colorado St.,L
Evansville,Illinois Chicago,L
Tennessee Martin,Southeast Missouri S,L
San Diego,Washington St.,W
IU Indy,Oakland,W
Xavier,Creighton,L
Illinois,Maryland,W
North Carolina,Notre Dame,W
Creighton,Xavier,W
Arizona,Cincinnati,W
Nebraska,Washington,W
Texas,Kentucky,L
Texas A&M,Mississippi St.,W
Washington St.,San Diego,L
Sam Houston St.,Kennesaw St.,W
Kentucky,Texas,W
Tulsa,Memphis,W
Mercer,Western Carolina,W
Wofford,Samford,W
Valparaiso,Southern Illinois,W
Cleveland St.,Wright St.,W
UNC Asheville,USC Upstate,W
Saint Mary's,Oregon St.,W
Kennesaw St.,Sam Houston St.,L
Liberty,Western Kentucky,W
Army,Bucknell,W
Southern Utah,Utah Valley,W
Washington,Nebraska,L
West Virginia,Arizona St.,W
Northwestern,USC,W
Maryland,Illinois,L
Drake,Murray St.,W
Wichita St.,East Carolina,W
Presbyterian,Charleston Southern,W
La Salle,Dayton,W
Navy,Holy Cross,W
Samford,Wofford,L
UNC Greensboro,VMI,W
Utah Tech,Cal Baptist,L
Gonzaga,Pepperdine,W
Purdue Fort Wayne,Detroit Mercy,W
Queens,North Alabama,W
Arizona St.,West Virginia,L
New Mexico,Fresno St.,W
Notre Dame,North Carolina,L
Holy Cross,Navy,L
Cal Baptist,Utah Tech,W
Virginia Tech,Syracuse,W
Oakland,IU Indy,L
Syracuse,Virginia Tech,L
Grand Canyon,San Diego St.,W
Longwood,Gardner Webb,W
Florida Atlantic,Tulane,W
San Diego St.,Grand Canyon,L
North Texas,UTSA,W
Radford,Winthrop,L
Temple,Rice,W
Bucknell,Army,L
Murray St.,Drake,L
Memphis,Tulsa,L
Mississippi St.,Texas A&M,L
Charleston Southern,Presbyterian,L
Villanova,Georgetown,W
USC,Northwestern,L
Pittsburgh,Boston College,L
Tulane,Florida Atlantic,L
Fordham,Davidson,L
The Citadel,Furman,W
Seattle,Loyola Marymount,W
VMI,UNC Greensboro,L
Rice,Temple,L
Davidson,Fordham,W
Richmond,Rhode Island,L
Tarleton St.,UT Arlington,L
Winthrop,Radford,W
Cincinnati,Arizona,L
Boston College,Pittsburgh,W
UT Arlington,Tarleton St.,W
Pepperdine,Gonzaga,L
Wright St.,Cleveland St.,L
USC Upstate,UNC Asheville,L
Detroit Mercy,Purdue Fort Wayne,L
Indiana St.,Bradley,L
Western Kentucky,Liberty,L
Western Carolina,Mercer,L
Furman,The Citadel,L
Illinois St.,Northern Iowa,W
Bradley,Indiana St.,W
Rhode Island,Richmond,W
Fresno St.,New Mexico,L
Oregon St.,Saint Mary's,L
Utah Valley,Southern Utah,L
Colgate,American,L
Boston University,Lafayette,W
Troy,Old Dominion,W
UTSA,North Texas,L
American,Colgate,W
East Carolina,Wichita St.,L
Southern Illinois,Valparaiso,L
Lafayette,Boston University,L
Old Dominion,Troy,L
Chattanooga,East Tennessee St.,L
Dayton,La Salle,L
East Tennessee St.,Chattanooga,W
Loyola Marymount,Seattle,L
Georgetown,Villanova,L
North Alabama,Queens,L
South Dakota,Nebraska Omaha,W
Northern Iowa,Illinois St.,L
Nebraska Omaha,South Dakota,L
Gardner Webb,Longwood,L
UC Santa Barbara,Cal Poly,W
Wisconsin,Penn St.,W
Marshall,Louisiana Monroe,W
Missouri St.,New Mexico St.,W
Youngstown St.,Green Bay,W
Stony Brook,Northeastern,W
UMBC,NJIT,W
Green Bay,Youngstown St.,L
Central Arkansas,West Georgia,W
North Carolina A&T,Hofstra,W
Denver,North Dakota St.,L
Austin Peay,Florida Gulf Coast,W
Bellarmine,Jacksonville,W
Robert Morris,Milwaukee,W
North Dakota St.,Denver,W
Hawaii,Cal St. Bakersfield,W
Campbell,Charleston,L
South Alabama,James Madison,W
UTEP,FIU,W
Charleston,Campbell,W
North Dakota,Oral Roberts,W
UC Irvine,UC Riverside,W
Siena,Marist,W
Quinnipiac,Mount St. Mary's,W
Idaho,Sacramento St.,W
Towson,Elon,W
Hofstra,North Carolina A&T,L
New Mexico St.,Missouri St.,L
South Florida,UAB,W
Montana,Weber St.,W
Appalachian St.,Louisiana,W
SIU Edwardsville,Tennessee St.,W
William & Mary,UNC Wilmington,W
Tennessee St.,SIU Edwardsville,L
Milwaukee,Robert Morris,L
Northeastern,Stony Brook,L
Weber St.,Montana,L
North Florida,Eastern Kentucky,W
James Madison,South Alabama,L
Lindenwood,Tennessee Tech,W
Sacramento St.,Idaho,L
UC San Diego,UC Davis,W
Vermont,UMass Lowell,W
Louisiana,Appalachian St.,L
FIU,UTEP,L
Montana St.,Idaho St.,W
Arkansas St.,Georgia Southern,W
UC Davis,UC San Diego,L
Eastern Kentucky,North Florida,L
Penn St.,Wisconsin,L
Elon,Towson,L
Coastal Carolina,Texas St.,W
Cal Poly,UC Santa Barbara,L
Cal St. Fullerton,Long Beach St.,W
Texas St.,Coastal Carolina,L
Idaho St.,Montana St.,L
South Dakota St.,St. Thomas,L
Hampton,Monmouth,W
NJIT,UMBC,L
Iona,Merrimack,W
UC Riverside,UC Irvine,L
St. Thomas,South Dakota St.,W
West Georgia,Central Arkansas,L
Cal St. Bakersfield,Hawaii,L
Merrimack,Iona,L
Western Illinois,Morehead St.,L
Binghamton,New Hampshire,L
UMass Lowell,Vermont,L
Jacksonville,Bellarmine,L
Portland St.,Eastern Washington,W
Little Rock,Southeast Missouri S,L
Southeast Missouri S,Little Rock,W
UAB,South Florida,L
Morehead St.,Western Illinois,W
Florida Gulf Coast,Austin Peay,L
Monmouth,Hampton,L
Georgia St.,Southern Miss,W
Eastern Washington,Portland St.,L
UNC Wilmington,William & Mary,L
Sacred Heart,Canisius,W
Georgia Southern,Arkansas St.,L
Lipscomb,Stetson,W
Canisius,Sacred Heart,L
Niagara,Fairfield,L
Oral Roberts,North Dakota,L
Stetson,Lipscomb,L
Marist,Siena,L
Fairfield,Niagara,W
Albany,Maine,L
Tennessee Tech,Lindenwood,L
New Hampshire,Binghamton,W
Mount St. Mary's,Quinnipiac,L
Long Beach St.,Cal St. Fullerton,L
Southern Miss,Georgia St.,L
Louisiana Monroe,Marshall,L
Maine,Albany,W
Eastern Illinois,Southern Indiana,W
Southern Indiana,Eastern Illinois,L
Indiana,Rutgers,W
Saint Louis,St. Bonaventure,W
Butler,Marquette,W
Lipscomb,Florida Gulf Coast,W
Kennesaw St.,Louisiana Tech,L
Furman,UNC Greensboro,W
Jacksonville St.,Middle Tennessee,W
High Point,Radford,W
Ohio St.,Michigan,L
Fairleigh Dickinson,Central Connecticut,W
Louisiana Tech,Kennesaw St.,W
Radford,High Point,L
Michigan,Ohio St.,W
Akron,Ohio,W
Florida Gulf Coast,Lipscomb,L
East Tennessee St.,The Citadel,W
Marquette,Butler,L
Southern Indiana,Western Illinois,W
Saint Francis,Chicago St.,W
UNC Greensboro,Furman,L
Wagner,Le Moyne,L
Rutgers,Indiana,L
Charlotte,Tulane,W
East Carolina,North Texas,W
Colorado St.,Utah St.,L
Le Moyne,Wagner,W
Central Connecticut,Fairleigh Dickinson,L
Utah St.,Colorado St.,W
Stetson,Austin Peay,L
Massachusetts,Buffalo,W
LIU,Stonehill,W
Mercyhurst,New Haven,W
Middle Tennessee,Jacksonville St.,L
Tulane,Charlotte,L
Longwood,Charleston Southern,W
Stonehill,LIU,L
Austin Peay,Stetson,W
Gardner Webb,USC Upstate,W
New Haven,Mercyhurst,L
Buffalo,Massachusetts,L
St. Bonaventure,Saint Louis,L
Charleston Southern,Longwood,L
USC Upstate,Gardner Webb,L
Ohio,Akron,L
The Citadel,East Tennessee St.,L
North Texas,East Carolina,L
Western Illinois,Southern Indiana,L
Chicago St.,Saint Francis,L
Appalachian St.,Louisiana Monroe,W
Louisiana Monroe,Appalachian St.,L
Texas Tech,Houston,W
Houston,Texas Tech,L
Illinois,Purdue,W
Purdue,Illinois,L
Auburn,Florida,W
Michigan St.,Maryland,W
North Carolina,Virginia,W
Arizona,West Virginia,W
UCF,Colorado,W
Boise St.,Air Force,W
Duke,Wake Forest,W
BYU,Utah,W
Wake Forest,Duke,L
Oakland,Detroit Mercy,W
William & Mary,Hofstra,W
Texas A&M,South Carolina,W
Tulsa,Rice,W
Cornell,Harvard,W
North Dakota St.,Oral Roberts,W
Utah Tech,Southern Utah,W
Arizona St.,Cincinnati,W
Stephen F. Austin,Lamar,W
Illinois Chicago,Bradley,W
Iowa St.,Oklahoma St.,W
Kansas,Kansas St.,W
Virginia,North Carolina,L
Miami FL,Syracuse,W
LSU,Arkansas,L
Providence,Georgetown,L
Utah,BYU,L
Weber St.,Montana St.,L
George Washington,Richmond,W
Murray St.,Northern Iowa,L
VCU,Davidson,W
SMU,Florida St.,W
Washington St.,Pepperdine,W
Texas,Georgia,W
Northern Arizona,Northern Colorado,W
North Florida,Bellarmine,W
James Madison,Texas St.,W
Colorado,UCF,L
TCU,Baylor,W
Bellarmine,North Florida,L
Xavier,St. John's,L
Villanova,Connecticut,L
Rhode Island,George Mason,W
Alabama,Tennessee,L
Lamar,Stephen F. Austin,L
Louisville,Virginia Tech,W
Coastal Carolina,Southern Miss,W
Troy,Georgia Southern,W
Wright St.,Northern Kentucky,W
Tennessee St.,Lindenwood,W
Oklahoma,Missouri,L
Western Carolina,VMI,W
Baylor,TCU,L
Tennessee,Alabama,W
Vanderbilt,Mississippi St.,W
Southern Utah,Utah Tech,L
Arkansas,LSU,W
Florida St.,SMU,L
Hofstra,William & Mary,L
St. Thomas,South Dakota,W
Montana St.,Weber St.,W
Cal St. Fullerton,Cal Poly,W
UC Santa Barbara,Long Beach St.,W
Georgetown,Providence,W
UNC Wilmington,Hampton,W
N.C. State,Pittsburgh,W
Connecticut,Villanova,W
Arkansas St.,Georgia St.,L
Nebraska,Minnesota,W
Georgia Southern,Troy,L
Georgia St.,Arkansas St.,W
San Diego St.,UNLV,W
Belmont,Illinois St.,W
Detroit Mercy,Oakland,L
UNLV,San Diego St.,L
Saint Mary's,Portland,W
Davidson,VCU,L
Green Bay,Robert Morris,W
UCLA,Northwestern,W
Northern Iowa,Murray St.,W
Clemson,Georgia Tech,W
George Mason,Rhode Island,L
Missouri,Oklahoma,W
Monmouth,Campbell,W
Portland,Saint Mary's,L
Kansas St.,Kansas,L
Yale,Penn,W
Syracuse,Miami FL,L
Northeastern,Drexel,L
Santa Clara,San Diego,W
Navy,Army,W
Texas Southern,Alabama A&M,W
South Dakota,St. Thomas,L
Nevada,New Mexico,L
New Mexico,Nevada,W
DePaul,Seton Hall,W
Northern Colorado,Northern Arizona,L
North Carolina A&T,Towson,W
Rice,Tulsa,L
Saint Joseph's,Dayton,W
Hampton,UNC Wilmington,L
St. John's,Xavier,W
Georgia,Texas,L
North Dakota,Denver,W
Norfolk St.,Coppin St.,W
Harvard,Cornell,L
Pittsburgh,N.C. State,L
Northern Kentucky,Wright St.,L
Bradley,Illinois Chicago,L
Winthrop,Presbyterian,W
Alabama A&M,Texas Southern,L
American,Holy Cross,W
Hawaii,Cal St. Northridge,W
California,Stanford,W
Denver,North Dakota,L
Virginia Tech,Louisville,L
McNeese St.,New Orleans,W
Alabama St.,Prairie View A&M,W
Sam Houston St.,Western Kentucky,W
Texas A&M Corpus Chr,Incarnate Word,W
Maine,Binghamton,W
Pepperdine,Washington St.,L
New Hampshire,Albany,W
Eastern Kentucky,Jacksonville,L
Drexel,Northeastern,W
Morehead St.,Eastern Illinois,W
Kentucky,Mississippi,W
Eastern Washington,Sacramento St.,W
Toledo,Bowling Green,W
Dayton,Saint Joseph's,L
Marist,Quinnipiac,W
Vermont,Bryant,W
Notre Dame,Boston College,W
San Francisco,Gonzaga,L
FIU,New Mexico St.,W
Oklahoma St.,Iowa St.,L
South Carolina,Texas A&M,L
Wichita St.,Memphis,W
Portland St.,Idaho,W
Merrimack,Saint Peter's,W
UC Davis,UC Riverside,W
Cincinnati,Arizona St.,L
Grand Canyon,Fresno St.,W
Minnesota,Nebraska,L
Wofford,Mercer,W
Georgia Tech,Clemson,L
Albany,New Hampshire,L
UMBC,UMass Lowell,W
Rider,Mount St. Mary's,L
Long Beach St.,UC Santa Barbara,L
Columbia,Dartmouth,W
Lindenwood,Tennessee St.,L
Samford,Chattanooga,W
Boston University,Colgate,L
Boston College,Notre Dame,L
UT Rio Grande Valley,Houston Christian,W
Bowling Green,Toledo,L
Campbell,Monmouth,L
Pacific,Seattle,W
Utah Valley,Cal Baptist,L
Arkansas Pine Bluff,Southern,W
Mississippi,Kentucky,L
Charleston,Elon,W
Western Michigan,Central Michigan,W
Northwestern,UCLA,L
Mercer,Wofford,L
VMI,Western Carolina,L
Chattanooga,Samford,L
Cal Baptist,Utah Valley,W
Eastern Illinois,Morehead St.,L
Cal Poly,Cal St. Fullerton,L
Air Force,Boise St.,L
Binghamton,Maine,L
Gonzaga,San Francisco,W
Drake,Indiana St.,W
Incarnate Word,Texas A&M Corpus Chr,L
SIU Edwardsville,Tennessee Tech,W
Jacksonville,Eastern Kentucky,W
Temple,UTSA,W
Quinnipiac,Marist,L
Florida,Auburn,L
UTSA,Temple,L
Stanford,California,L
Liberty,Delaware,W
Richmond,George Washington,L
Kent St.,Eastern Michigan,W
Southern Miss,Coastal Carolina,L
West Georgia,Queens,W
Southern,Arkansas Pine Bluff,L
New Mexico St.,FIU,L
Idaho,Portland St.,L
San Jose St.,Wyoming,L
Niagara,Sacred Heart,L
New Orleans,McNeese St.,L
Sacramento St.,Eastern Washington,L
Duquesne,Loyola Chicago,W
Illinois St.,Belmont,L
Mount St. Mary's,Rider,W
Robert Morris,Green Bay,L
West Virginia,Arizona,L
Army,Navy,L
Loyola MD,Bucknell,W
Bethune Cookman,Jackson St.,W
Presbyterian,Winthrop,L
Morgan St.,Howard,W
Tennessee Tech,SIU Edwardsville,L
Colgate,Boston University,W
San Diego,Santa Clara,L
Holy Cross,American,L
Cal St. Northridge,Hawaii,L
Milwaukee,Youngstown St.,W
Queens,West Georgia,L
Fresno St.,Grand Canyon,L
Sacred Heart,Niagara,W
Elon,Charleston,L
Towson,North Carolina A&T,L
Nebraska Omaha,UMKC,W
Seton Hall,DePaul,L
Fairfield,Canisius,W
Wyoming,San Jose St.,W
Montana,Idaho St.,W
Oral Roberts,North Dakota St.,L
Maryland,Michigan St.,L
UC Riverside,UC Davis,L
Dartmouth,Columbia,L
Princeton,Brown,W
Ball St.,Northern Illinois,W
Missouri St.,UTEP,W
UC Irvine,UC San Diego,W
Lehigh,Lafayette,W
Central Michigan,Western Michigan,L
Saint Peter's,Merrimack,L
Penn,Yale,L
UC San Diego,UC Irvine,L
Bryant,Vermont,L
Eastern Michigan,Kent St.,L
Iona,Manhattan,W
Alcorn St.,Florida A&M,L
Bucknell,Loyola MD,L
Coppin St.,Norfolk St.,L
Prairie View A&M,Alabama St.,L
Idaho St.,Montana,L
Southeastern Louisia,Nicholls St.,W
Loyola Chicago,Duquesne,L
Texas St.,James Madison,L
Florida A&M,Alcorn St.,W
Youngstown St.,Milwaukee,L
UTEP,Missouri St.,L
Nicholls St.,Southeastern Louisia,L
UMass Lowell,UMBC,L
Northern Illinois,Ball St.,L
Houston Christian,UT Rio Grande Valley,L
Western Kentucky,Sam Houston St.,L
Seattle,Pacific,L
Manhattan,Iona,L
Lafayette,Lehigh,L
Brown,Princeton,L
Delaware,Liberty,L
Howard,Morgan St.,L
Memphis,Wichita St.,L
Canisius,Fairfield,L
Mississippi St.,Vanderbilt,L
Indiana St.,Drake,L
UMKC,Nebraska Omaha,L
Jackson St.,Bethune Cookman,L
South Florida,Florida Atlantic,W
USC,Wisconsin,W
Florida Atlantic,South Florida,L
Washington,Oregon,W
Wisconsin,USC,L
Chicago St.,Mercyhurst,L
Mercyhurst,Chicago St.,W
Oregon,Washington,L
Duke,Louisville,W
BYU,Arizona,L
Le Moyne,Fairleigh Dickinson,W
Arizona,BYU,W
Ohio St.,Penn St.,W
Penn St.,Ohio St.,L
Bethune Cookman,Alcorn St.,W
Louisville,Duke,L
Jackson St.,Florida A&M,W
UT Rio Grande Valley,Texas A&M Corpus Chr,W
Fairleigh Dickinson,Le Moyne,L
Alcorn St.,Bethune Cookman,L
South Carolina St.,Delaware St.,W
Florida A&M,Jackson St.,L
Morgan St.,Norfolk St.,W
Central Connecticut,Stonehill,L
Norfolk St.,Morgan St.,L
Texas A&M Corpus Chr,UT Rio Grande Valley,L
Delaware St.,South Carolina St.,L
Stonehill,Central Connecticut,W
Notre Dame,Virginia,L
Buffalo,Bowling Green,W
Massachusetts,Miami OH,L
Providence,Connecticut,L
Rutgers,Michigan St.,L
Saint Joseph's,Loyola Chicago,W
Marquette,Creighton,W
Virginia,Notre Dame,W
Northern Illinois,Western Michigan,W
Indiana,Purdue,W
VCU,Richmond,W
N.C. State,Syracuse,W
Nebraska,Michigan,L
Toledo,Akron,L
Oklahoma,Arkansas,L
Miami OH,Massachusetts,W
Texas Southern,Alabama St.,W
Arkansas,Oklahoma,W
Alabama,Missouri,W
Central Michigan,Eastern Michigan,W
Vanderbilt,Kentucky,W
Michigan St.,Rutgers,W
Akron,Toledo,W
Connecticut,Providence,W
Michigan,Nebraska,W
New Mexico,UNLV,W
Richmond,VCU,L
Boise St.,San Jose St.,W
UCF,Arizona St.,W
Illinois Chicago,Indiana St.,W
Purdue,Indiana,L
McNeese St.,Southeastern Louisia,W
Rhode Island,Dayton,W
Arizona St.,UCF,L
Wake Forest,Pittsburgh,L
Lamar,East Texas A&M,W
Alabama A&M,Prairie View A&M,W
George Washington,Saint Louis,L
Indiana St.,Illinois Chicago,L
Pittsburgh,Wake Forest,W
Dayton,Rhode Island,L
Bowling Green,Buffalo,L
Syracuse,N.C. State,L
New Orleans,Nicholls St.,W
Western Michigan,Northern Illinois,L
Incarnate Word,Houston Christian,L
Southeastern Louisia,McNeese St.,L
Virginia Tech,Georgia Tech,W
Kansas St.,West Virginia,L
Saint Louis,George Washington,W
San Jose St.,Boise St.,L
Loyola Chicago,Saint Joseph's,L
Houston Christian,Incarnate Word,W
Georgia Tech,Virginia Tech,L
Nevada,Grand Canyon,W
Missouri,Alabama,L
Creighton,Marquette,L
Stephen F. Austin,Northwestern St.,W
West Virginia,Kansas St.,W
Northwestern St.,Stephen F. Austin,L
East Texas A&M,Lamar,L
Eastern Michigan,Central Michigan,L
Kent St.,Ohio,W
Grand Canyon,Nevada,L
Alabama St.,Texas Southern,L
UNLV,New Mexico,L
Kentucky,Vanderbilt,L
Nicholls St.,New Orleans,L
Prairie View A&M,Alabama A&M,L
Ohio,Kent St.,L
St. John's,Butler,W
Utah St.,Wyoming,W
Georgia,Tennessee,L
Texas,Auburn,L
Florida,South Carolina,W
Auburn,Texas,W
Charlotte,Temple,W
Butler,St. John's,L
South Florida,Tulane,W
Tennessee,Georgia,W
Mississippi St.,LSU,W
Georgetown,DePaul,W
