Team,Opp.,W/L
UC San Diego,Seattle,L
UT Rio Grande Valley,Southern Utah,W
Western Kentucky,Tennessee St.,W
Hawaii,Texas A&M Corpus Chr,W
UC Davis,UC Santa Barbara,W
USC Upstate,East Tennessee St.,L
UT Arlington,Austin Peay,W
Central Connecticut,Holy Cross,W
Seattle,UTEP,L
Army,Manhattan,L
Buffalo,Notre Dame,L
Cal St. Bakersfield,FIU,L
LSU,Charleston Southern,W
Drake,Valparaiso,W
Seattle,Liberty,L
Lehigh,Marist,W
Delaware,Robert Morris,W
Connecticut,Texas A&M Commerce,W
Texas A&M Commerce,Stonehill,L
Missouri St.,Tulsa,W
West Georgia,Mercer,L
Wright St.,Oakland,L
Bryant,Brown,L
Grand Canyon,Georgia,L
Arkansas,Lipscomb,W
Mississippi St.,McNeese St.,W
South Alabama,Mercer,W
Prairie View A&M,Incarnate Word,L
UNC Wilmington,Sam Houston St.,W
Bryant,Siena,L
Tennessee,Western Carolina,W
East Tennessee St.,Charlotte,W
Murray St.,Maryland Eastern Sho,W
New Mexico,New Mexico St.,L
Incarnate Word,Prairie View A&M,W
Eastern Michigan,Purdue Fort Wayne,L
Purdue,Penn St.,L
Georgetown,Saint Francis,W
Alcorn St.,South Alabama,L
Northern Kentucky,Cincinnati,L
Portland,Denver,W
Princeton,Duquesne,W
Houston Christian,UTSA,L
Middle Tennessee,Belmont,L
Mississippi,Southern,W
Oklahoma St.,St. Thomas,W
Indiana,UNC Greensboro,W
Portland St.,Utah Tech,W
Saint Mary's,Arizona St.,L
Bellarmine,Louisville,L
Buffalo,Penn St.,L
Montana,Denver,W
East Carolina,Illinois Chicago,W
Florida A&M,Clemson,L
Niagara,Michigan St.,L
Morgan St.,NJIT,W
North Dakota St.,West Georgia,W
Fresno St.,Prairie View A&M,W
Purdue Fort Wayne,UCF,L
California,Cornell,L
Saint Louis,Jackson St.,W
Butler,Missouri St.,W
Georgia Southern,North Florida,W
Saint Francis,Radford,L
Seton Hall,Rutgers,L
East Tennessee St.,USC Upstate,W
SMU,Virginia,W
Saint Mary's,Boise St.,L
DePaul,St. John's,L
Duquesne,DePaul,L
Wisconsin,Michigan,L
Lafayette,Penn,W
Louisiana Monroe,Stephen F. Austin,L
Tennessee St.,Colorado St.,L
Texas Southern,Xavier,L
Robert Morris,Towson,W
UNC Asheville,Ohio,L
George Washington,Army,W
Delaware,Bryant,L
Southern Utah,Cal St. Bakersfield,W
Cal St. Northridge,Sacramento St.,W
Saint Joseph's,Charleston,L
Cincinnati,Villanova,L
Florida St.,Rice,W
George Mason,James Madison,W
American,Harvard,W
Grand Canyon,Hawaii,W
Tarleton St.,Hofstra,W
Winthrop,Little Rock,W
West Virginia,Massachusetts,W
Nebraska Omaha,Minnesota,L
Radford,Purdue Fort Wayne,W
Southern,Texas A&M,L
St. Bonaventure,Bucknell,W
UTSA,Arkansas,L
Cincinnati,Alabama St.,W
Bryant,Fordham,L
Virginia,Holy Cross,W
Missouri,Howard,W
Incarnate Word,Northern Arizona,L
Villanova,Lafayette,W
Morgan St.,Buffalo,L
Nevada,Loyola Marymount,L
North Texas,Oregon St.,W
TCU,Texas St.,W
Towson,UC Irvine,L
Clemson,Miami FL,W
East Carolina,FIU,W
Northeastern,La Salle,W
San Francisco,Loyola Chicago,W
Georgetown,Wagner,W
Weber St.,Nevada,L
Cal Baptist,Fresno St.,W
Temple,Florida St.,L
Harvard,Navy,L
Niagara,Detroit Mercy,L
Northern Arizona,Houston Christian,W
Purdue Fort Wayne,Robert Morris,W
UC San Diego,Toledo,W
Missouri St.,Boston College,L
Charleston Southern,Clemson,L
VMI,Charleston Southern,W
Cleveland St.,Valparaiso,W
East Carolina,Coastal Carolina,W
North Dakota St.,Illinois St.,L
Morehead St.,Cincinnati,L
Texas A&M Commerce,Houston Christian,L
UCF,Texas A&M,W
Abilene Christian,Texas St.,W
Missouri St.,UT Arlington,W
Pepperdine,Western Illinois,W
Tennessee St.,Bryant,L
Cal Poly,Saint Mary's,L
UC Riverside,Cal St. Fullerton,W
Central Connecticut,Rhode Island,L
Colorado St.,Washington,L
Columbia,Delaware St.,W
Cal Poly,Denver,W
Florida Atlantic,Oklahoma St.,W
Grand Canyon,Louisiana Tech,L
Idaho,Washington St.,L
Richmond,Maine,W
Miami OH,Siena,W
Duquesne,Milwaukee,L
Michigan St.,Monmouth,W
Mount St. Mary's,Howard,W
Wright St.,South Florida,L
Binghamton,Penn St.,L
Elon,Northern Illinois,W
Lipscomb,Jackson St.,W
Le Moyne,UT Rio Grande Valley,L
Northern Illinois,Monmouth,W
Monmouth,Princeton,L
Nebraska Omaha,Southern Utah,L
SIU Edwardsville,Illinois,L
VCU,New Mexico,L
Davidson,Charleston Southern,W
Davidson,Gonzaga,L
Georgia St.,Kennesaw St.,L
Southeastern Louisia,North Dakota,W
Florida Gulf Coast,St. Bonaventure,L
Western Illinois,Tennessee Tech,W
Texas A&M Corpus Chr,New Mexico,L
Toledo,Troy,L
Tulane,Bethune Cookman,W
Boston University,Dartmouth,W
Davidson,Temple,L
DePaul,Texas Tech,L
Butler,Eastern Illinois,W
Lehigh,Dayton,L
Loyola MD,Coppin St.,W
Loyola MD,Delaware St.,L
Saint Peter's,UMass Lowell,L
Grambling St.,Southeastern Louisia,L
St. Thomas,Wofford,L
Texas Southern,Georgia,L
Oregon St.,Utah Tech,W
South Florida,West Georgia,W
Air Force,California,L
Loyola Marymount,Belmont,W
Bethune Cookman,North Dakota,W
Idaho St.,San Diego,W
Lafayette,Cornell,L
Charlotte,LIU,L
Loyola Chicago,San Francisco,L
Maine,Duquesne,W
Navy,Maine,L
McNeese St.,Alabama,L
Michigan,Wisconsin,W
IU Indy,Northern Kentucky,L
Old Dominion,Radford,L
Tulsa,Southern,L
Wofford,Charleston,L
Air Force,Northern Colorado,L
Army,Le Moyne,W
Miami FL,Clemson,L
Coastal Carolina,East Carolina,L
Maine,Holy Cross,W
Houston Christian,Texas,L
UNC Greensboro,Long Beach St.,W
Virginia,Memphis,L
Virginia Tech,Michigan,L
Monmouth,Temple,L
Bucknell,Mount St. Mary's,L
Norfolk St.,Stanford,L
Gardner Webb,North Carolina Centr,L
Winthrop,North Carolina Centr,W
Cornell,Samford,W
South Dakota,Texas A&M Commerce,W
Merrimack,Vermont,W
Manhattan,Army,W
Samford,Austin Peay,W
Oregon St.,Cal St. Fullerton,W
Wisconsin,Chicago St.,W
San Francisco,Clemson,L
Marist,Dartmouth,W
Fairleigh Dickinson,Creighton,L
James Madison,George Mason,L
George Washington,Illinois St.,W
Providence,Green Bay,W
Mercer,Stetson,W
New Mexico St.,UNLV,L
Massachusetts,Northeastern,W
Ohio,Memphis,L
Belmont,Oral Roberts,W
Lamar,Sam Houston St.,L
South Carolina St.,USC Upstate,W
Montana St.,Southern Miss,W
Yale,Vermont,W
Syracuse,Colgate,W
Fairleigh Dickinson,Fairfield,L
Syracuse,Le Moyne,W
VCU,Loyola MD,W
Murray St.,Western Kentucky,L
Northern Colorado,Texas Tech,L
Portland,Long Beach St.,W
Texas A&M,Southern,W
Syracuse,Texas,L
Utah Valley,Samford,L
Texas,Connecticut,L
St. John's,Georgia,L
Holy Cross,Quinnipiac,W
Jacksonville St.,James Madison,L
Lafayette,Rhode Island,L
Morehead St.,Ohio,L
Buffalo,Morgan St.,W
UMBC,Morgan St.,W
NJIT,Seton Hall,L
Butler,North Dakota St.,L
North Texas,Minnesota,W
Furman,Princeton,W
Quinnipiac,Navy,W
Wichita St.,Saint Louis,W
Tulane,Southeastern Louisia,L
San Jose St.,UC Santa Barbara,L
UT Rio Grande Valley,Charleston Southern,W
Liberty,Florida Atlantic,L
Harvard,St. John's,L
Utah St.,Iowa,W
Liberty,Charleston,W
Saint Francis,Georgetown,L
Tennessee St.,Chattanooga,L
Tennessee Tech,Western Illinois,L
Cal Baptist,UC Riverside,L
UMKC,Portland,W
Detroit Mercy,Wright St.,L
Alabama A&M,Chattanooga,L
La Salle,American,W
Bethune Cookman,Texas Tech,L
Bucknell,Kentucky,L
Denver,Colorado St.,L
Towson,James Madison,W
Manhattan,Saint Peter's,W
Northeastern,Old Dominion,W
Oakland,Kansas,L
Cornell,Robert Morris,L
Dartmouth,Sacred Heart,W
South Florida,Wright St.,W
DePaul,Southern Indiana,W
Stonehill,Marquette,L
Gardner Webb,Southeastern Louisia,W
George Washington,Hampton,W
Nebraska Omaha,Lamar,W
Missouri,Lindenwood,W
Texas,Saint Joseph's,W
Stonehill,Texas A&M Commerce,W
Arkansas St.,UAB,W
Utah Tech,Denver,W
Northern Kentucky,Detroit Mercy,W
Creighton,Houston Christian,W
Maine,Brown,W
Milwaukee,Northern Iowa,L
Missouri St.,Butler,L
Rhode Island,Providence,W
Santa Clara,Stanford,L
VMI,Loyola MD,L
Western Michigan,Butler,L
Hawaii,Long Beach St.,L
LIU,Air Force,W
LSU,Pittsburgh,L
Marshall,Wright St.,L
McNeese St.,South Dakota St.,L
Georgia Southern,Northern Illinois,W
Sam Houston St.,Baylor,L
Sam Houston St.,Indiana,L
Tennessee Tech,West Georgia,W
Arkansas Pine Bluff,Texas Tech,L
Coastal Carolina,North Carolina A&T,W
Middle Tennessee,Evansville,W
Florida A&M,SMU,L
Illinois,Northwestern,L
Longwood,Maryland Eastern Sho,W
Merrimack,Stanford,L
Milwaukee,Southern Miss,L
Middle Tennessee,Murray St.,L
Georgetown,Notre Dame,L
Oregon,USC,W
Arkansas,UTSA,W
Arkansas St.,Rice,L
South Florida,Bethune Cookman,L
Notre Dame,Buffalo,W
Colgate,Harvard,L
Delaware St.,Mount St. Mary's,L
Maine,Elon,W
Stanford,Grand Canyon,L
Merrimack,UMass Lowell,L
Louisville,Mississippi,L
Samford,Cornell,L
UNC Asheville,Southeast Missouri S,W
USC Upstate,Western Carolina,W
Bethune Cookman,Minnesota,L
Fordham,Binghamton,W
Minnesota,Central Michigan,W
Syracuse,Cornell,W
Eastern Illinois,Northwestern,L
Holy Cross,Harvard,W
Northwestern,Illinois,W
Massachusetts,West Virginia,L
George Mason,North Carolina Centr,W
Texas A&M Commerce,Southern,W
UT Rio Grande Valley,Nebraska,L
Sam Houston St.,Appalachian St.,L
Cal Poly,Eastern Washington,W
Colgate,Syracuse,L
Eastern Kentucky,Pittsburgh,L
Illinois St.,George Washington,L
Kent St.,Auburn,L
UC San Diego,La Salle,W
Northern Iowa,St. Bonaventure,L
Charleston,South Florida,W
Chattanooga,Tennessee St.,W
Albany,Georgetown,L
SIU Edwardsville,Canisius,W
Massachusetts,Central Connecticut,L
Albany,Drexel,L
Drexel,Fairfield,W
Eastern Illinois,Illinois,L
Belmont,Gardner Webb,W
Georgia Southern,William & Mary,L
Duke,Incarnate Word,W
Binghamton,Longwood,L
Marshall,Bellarmine,W
Houston Christian,Louisiana Monroe,W
UNLV,Nebraska Omaha,W
North Texas,McNeese St.,L
Portland St.,San Diego,W
DePaul,Prairie View A&M,W
Niagara,Saint Francis,W
UMKC,Iowa St.,L
Southeast Missouri S,UMKC,W
Tennessee St.,UNC Asheville,L
USC Upstate,Iowa,L
Grand Canyon,Western Kentucky,W
Portland St.,Denver,L
Fordham,Penn St.,L
McNeese St.,Liberty,L
Louisiana Tech,Southern Illinois,W
Delaware St.,Loyola MD,W
Morgan St.,Bowling Green,L
Pacific,UNLV,L
Arkansas St.,Alabama,L
Central Michigan,Mississippi St.,L
Florida Gulf Coast,UNC Greensboro,L
UMBC,Hampton,L
Loyola Chicago,Princeton,W
Ohio,Middle Tennessee,L
Green Bay,St. Thomas,L
Tulsa,Missouri St.,L
Western Kentucky,Grand Canyon,L
Queens,Winthrop,L
Old Dominion,Buffalo,L
Campbell,Morgan St.,L
Ball St.,Indiana St.,L
Jacksonville,Furman,L
Louisiana Tech,Richmond,W
New Orleans,Baylor,L
North Carolina Centr,William & Mary,W
Portland,Oregon,L
Prairie View A&M,SMU,L
USC Upstate,Queens,L
South Dakota,Northern Arizona,L
Boise St.,Texas Southern,W
UC Irvine,Loyola Marymount,W
VMI,Bellarmine,W
Appalachian St.,UNC Wilmington,L
Georgia Southern,VCU,L
Princeton,Loyola Chicago,L
Monmouth,Wichita St.,L
North Alabama,Samford,L
Virginia Tech,South Carolina,L
Utah Valley,West Georgia,W
Arkansas St.,Hofstra,L
Ball St.,Richmond,L
Boston University,UMBC,W
Texas St.,Bradley,L
San Francisco,Chicago St.,W
Rice,FIU,W
Liberty,Seattle,W
UTSA,North Dakota,W
Providence,Rhode Island,L
Temple,Sacred Heart,W
Stetson,Toledo,L
Texas A&M,UCF,L
Wright St.,Toledo,L
Eastern Michigan,Northern Arizona,W
George Mason,East Carolina,L
Georgia Tech,Georgia,L
Lafayette,LIU,W
Sacred Heart,Temple,L
Indiana St.,SIU Edwardsville,L
Montana,South Dakota St.,W
Loyola Chicago,South Florida,W
UNC Greensboro,North Florida,L
N.C. State,William & Mary,W
Niagara,Binghamton,W
Bucknell,Delaware,W
Jackson St.,Saint Louis,L
James Madison,Norfolk St.,L
Maryland Eastern Sho,Murray St.,L
Virginia Tech,Pittsburgh,L
Queens,East Tennessee St.,L
Texas Southern,New Mexico,L
VMI,George Washington,L
Youngstown St.,Robert Morris,W
North Carolina,Alabama,L
Long Beach St.,Fresno St.,L
Gardner Webb,Belmont,L
Georgia Southern,North Carolina Centr,W
Hofstra,Florida St.,L
Longwood,Binghamton,W
Richmond,Louisiana Tech,L
Little Rock,Maryland Eastern Sho,W
Princeton,Furman,L
Seton Hall,VCU,W
George Mason,Marquette,L
Valparaiso,Liberty,L
Lipscomb,Alabama A&M,W
North Carolina A&T,Hampton,L
Duquesne,Saint Peter's,L
South Carolina,Xavier,L
UC Davis,Idaho,W
UC Davis,Oregon St.,L
UT Arlington,Missouri St.,L
Air Force,Miami OH,L
Akron,Arkansas St.,L
Wichita St.,Alcorn St.,W
Binghamton,Central Connecticut,L
Iowa,Washington St.,W
Louisiana Monroe,Northwestern St.,W
Kansas St.,LSU,L
Mercyhurst,Morgan St.,W
Nebraska Omaha,UNLV,L
New Orleans,Nicholls St.,L
Northern Kentucky,Norfolk St.,W
William & Mary,North Carolina Centr,L
North Texas,High Point,L
Robert Morris,Delaware,L
Penn St.,Saint Francis,W
Bethune Cookman,South Carolina St.,W
Tennessee Martin,North Alabama,L
Virginia Tech,Vanderbilt,L
Youngstown St.,Chicago St.,W
Albany,Sacred Heart,W
Boston University,Howard,W
Fairfield,Central Connecticut,L
Loyola MD,Columbia,L
Georgia St.,Mississippi St.,L
Lamar,Southern Miss,W
NJIT,George Washington,L
Old Dominion,Northeastern,L
Rice,Alcorn St.,W
South Dakota St.,Eastern Washington,W
Fairfield,Fairleigh Dickinson,W
George Washington,Kansas St.,L
George Washington,Mercyhurst,W
Bradley,San Francisco,W
Evansville,Western Kentucky,L
Arkansas Pine Bluff,Kansas St.,L
Radford,Bucknell,W
Pepperdine,Cal St. Fullerton,L
Columbia,Loyola MD,W
American,George Washington,W
UC Irvine,Kennesaw St.,W
Miami OH,Vermont,L
Penn,Navy,L
Southeastern Louisia,UAB,L
Virginia,St. John's,L
Drexel,Bryant,L
Valparaiso,Cleveland St.,L
Detroit Mercy,Ball St.,W
Murray St.,Indiana St.,L
Lafayette,Binghamton,L
Ohio St.,Evansville,W
Marist,Harvard,L
Princeton,Monmouth,W
Longwood,Morgan St.,W
Southern Illinois,North Dakota St.,W
LSU,Northwestern St.,W
Radford,Utah,L
Albany,Siena,W
Tennessee Martin,Charleston Southern,L
Houston,Toledo,W
UNC Greensboro,SMU,L
Cincinnati,Xavier,W
Pacific,Arkansas Pine Bluff,W
San Francisco,Cal Poly,W
Cal St. Fullerton,UC Riverside,L
Le Moyne,Cal St. Northridge,L
Michigan St.,Kansas,L
Stetson,Mercer,L
North Dakota,UTSA,L
Troy,New Orleans,W
Utah,Utah Tech,W
Rider,Delaware,L
Rice,Florida St.,L
Grambling St.,Mississippi,L
Marist,Lehigh,L
North Carolina A&T,Morgan St.,W
Navy,Saint Joseph's,L
Bucknell,Maryland,L
Incarnate Word,South Alabama,L
Howard,Mount St. Mary's,L
Southeastern Louisia,Louisiana Monroe,W
UT Rio Grande Valley,Stephen F. Austin,W
Xavier,Texas Southern,W
UC Riverside,Cal Baptist,W
Canisius,Robert Morris,L
Dartmouth,New Hampshire,W
Northwestern,Eastern Illinois,W
Eastern Michigan,Cleveland St.,L
Illinois,Maryland Eastern Sho,W
Nebraska Omaha,Montana St.,L
Notre Dame,North Dakota,W
Colorado,Northern Colorado,W
Washington,UC Davis,W
UC Riverside,Idaho,L
Saint Joseph's,Central Connecticut,L
UMKC,Idaho,L
Jacksonville,Florida,L
Nicholls St.,New Orleans,W
Hampton,North Carolina A&T,W
Colorado,Pacific,W
Pittsburgh,Virginia Tech,W
Louisiana,Rice,L
UMBC,Saint Peter's,L
South Carolina St.,Xavier,L
Southern Utah,San Diego,W
Tarleton St.,UTEP,L
Nicholls St.,Towson,L
Delaware St.,Texas,L
Seton Hall,Florida Atlantic,W
Louisiana,George Washington,L
Loyola MD,NJIT,W
Pacific,Hawaii,L
Northwestern,Pepperdine,W
St. Bonaventure,Siena,W
Stetson,Oklahoma,L
Incarnate Word,Texas A&M Commerce,W
UC Irvine,Towson,W
UC Santa Barbara,UC Davis,L
Albany,American,L
Butler,Austin Peay,L
Canisius,Loyola Chicago,L
Detroit Mercy,Loyola Chicago,L
Arizona,Duke,L
Colorado St.,North Dakota,W
Purdue,Marquette,L
Duke,Seattle,W
Louisiana Tech,Southern,L
Notre Dame,Syracuse,W
Washington,UMass Lowell,W
Boston University,Wagner,L
Dartmouth,Albany,L
South Alabama,Alcorn St.,W
Mercer,Chicago St.,W
Idaho,UC Davis,L
Pacific,Illinois St.,L
Portland,Kent St.,L
New Mexico St.,Southern Utah,W
Northern Iowa,UC Irvine,L
Weber St.,Bowling Green,W
Colorado St.,Denver,W
Tulane,Florida St.,L
James Madison,Towson,L
Chattanooga,Lipscomb,L
Miami OH,Mercer,W
Kansas St.,Mississippi Valley S,W
Siena,Canisius,W
Wagner,Maryland Eastern Sho,W
Weber St.,Hawaii,L
TCU,Alcorn St.,W
Siena,Brown,W
Austin Peay,Chattanooga,W
Cornell,Syracuse,L
Wake Forest,Florida,L
Rice,Iona,W
Kennesaw St.,Towson,W
Southern Miss,Milwaukee,W
Ohio,Marshall,L
USC,Oregon,L
Central Michigan,Stony Brook,L
UMKC,Montana St.,L
UAB,Vermont,L
Arizona,UCLA,L
Loyola Chicago,Chicago St.,W
Houston Christian,Eastern Michigan,L
La Salle,Fairleigh Dickinson,W
Stetson,FIU,L
Kansas,Creighton,L
Loyola MD,Boston College,L
Presbyterian,Youngstown St.,W
Cal Poly,Seattle,W
Stonehill,UMass Lowell,L
San Diego St.,UC San Diego,W
Winthrop,William & Mary,W
Denver,Cal St. Fullerton,L
Fairleigh Dickinson,Miami FL,L
Fresno St.,BYU,L
Iona,Tarleton St.,W
Louisiana Tech,Louisiana,W
Mercyhurst,George Washington,L
Oklahoma St.,Tulsa,W
Quinnipiac,UMass Lowell,L
Syracuse,Notre Dame,L
TCU,Michigan,L
Nevada,Washington,W
Brown,Siena,L
FIU,Cal St. Bakersfield,W
Canisius,Arizona,L
Loyola Chicago,Canisius,W
Coastal Carolina,Alabama A&M,L
Cleveland St.,Eastern Michigan,W
LIU,Missouri,L
Southern Illinois,Louisiana Tech,L
Maryland Eastern Sho,Vanderbilt,L
Middle Tennessee,Ohio,W
Fresno St.,San Diego,W
Stetson,South Florida,L
UNC Wilmington,East Carolina,W
USC Upstate,N.C. State,L
Alcorn St.,Maryland,L
Cal Poly,California,L
Canisius,Western Michigan,L
South Alabama,Central Michigan,L
Drexel,Temple,L
Florida Atlantic,Seton Hall,L
Cal St. Bakersfield,Fresno St.,W
Georgia St.,Auburn,L
Harvard,New Hampshire,W
Iona,Rice,L
Kent St.,Louisiana,W
Chattanooga,Morehead St.,W
Detroit Mercy,Niagara,W
The Citadel,North Carolina A&T,L
Bellarmine,Southern Indiana,L
Southern Utah,Arizona,L
Colorado St.,Tennessee St.,W
Bucknell,Southern Indiana,W
George Mason,Central Michigan,L
Florida A&M,TCU,L
Drake,Florida Gulf Coast,W
Louisiana Monroe,North Alabama,L
Wichita St.,Minnesota,W
Stetson,Nebraska Omaha,L
St. John's,Wagner,W
Wyoming,South Dakota,L
Army,George Washington,L
Lafayette,George Washington,L
San Francisco,Memphis,L
Mercyhurst,Columbia,L
NJIT,Villanova,L
Northwestern St.,Houston Christian,W
Milwaukee,St. Thomas,W
Alabama St.,LSU,L
Morehead St.,Austin Peay,W
Cal St. Bakersfield,California,L
Portland,Cal St. Bakersfield,L
Denver,Portland,L
Fordham,Fairleigh Dickinson,W
Furman,Charleston Southern,W
Loyola MD,VCU,L
Brown,Maine,L
VCU,Seton Hall,L
Massachusetts,UMass Lowell,L
Ball St.,Dayton,L
Bowling Green,Weber St.,L
NJIT,Massachusetts,L
St. Thomas,Oklahoma St.,L
Tennessee Tech,West Georgia,L
UC San Diego,San Diego St.,L
Montana,Utah Tech,W
UTSA,Bradley,L
Southern Miss,Alabama St.,W
Wake Forest,Detroit Mercy,W
Gardner Webb,Wofford,L
Winthrop,Georgia Southern,L
Cal St. Fullerton,Idaho St.,W
Wagner,Manhattan,L
South Florida,Portland,W
Sacramento St.,UC Davis,L
Southern Miss,Bowling Green,W
Dartmouth,Notre Dame,L
Drexel,Howard,W
Massachusetts,Hofstra,L
Dartmouth,Le Moyne,L
Norfolk St.,Northern Kentucky,L
Southern Miss,UAB,L
High Point,UAB,W
South Carolina,USC Upstate,W
Georgia St.,Ball St.,W
Cal St. Fullerton,Oregon St.,L
USC,California,L
La Salle,UC San Diego,L
North Dakota,Southeastern Louisia,L
North Texas,Utah St.,L
Virginia Tech,Jacksonville,L
Lindenwood,Mississippi,L
Maine,Richmond,L
South Carolina St.,South Carolina,L
Western Kentucky,Kentucky,L
Bethune Cookman,West Virginia,L
LIU,Columbia,L
Hampton,Duquesne,W
TCU,Florida Gulf Coast,W
Indiana St.,Southern Indiana,L
Longwood,Kansas St.,L
Robert Morris,Lindenwood,W
Valparaiso,Lindenwood,W
Morgan St.,Mercyhurst,L
UAB,Middle Tennessee,L
LIU,Mount St. Mary's,L
New Mexico St.,Dayton,L
Merrimack,Princeton,L
Saint Louis,San Francisco,L
Marshall,Toledo,L
UNC Asheville,Central Arkansas,L
Maryland Eastern Sho,Wagner,L
Stephen F. Austin,Youngstown St.,W
Arkansas St.,Akron,W
Southeast Missouri S,Chattanooga,L
Furman,Kansas,L
Furman,Seattle,W
Towson,Kent St.,L
Merrimack,Rutgers,L
Iowa St.,Mississippi Valley S,W
Texas A&M Commerce,Iowa,L
Texas A&M Corpus Chr,Hawaii,L
Tulane,Wyoming,L
Wake Forest,Xavier,L
Delaware,Bucknell,L
Fairleigh Dickinson,Fordham,L
Green Bay,UC Santa Barbara,L
UC Davis,Idaho,W
Iowa,Utah St.,L
UC San Diego,Sacramento St.,W
Saint Francis,Niagara,L
Boston University,San Diego,L
Eastern Michigan,IU Indy,W
Eastern Washington,Cal Baptist,L
Southern Utah,FIU,W
Mercyhurst,Kent St.,L
Stony Brook,Norfolk St.,L
North Carolina Centr,High Point,L
Northern Kentucky,Charleston,L
UMass Lowell,Central Connecticut,L
Tulane,Belmont,L
Cal St. Fullerton,Stanford,L
Tulsa,Georgia St.,L
Florida St.,Northern Kentucky,W
Oklahoma,Northwestern St.,W
Rider,San Diego,W
Appalachian St.,Sam Houston St.,W
North Dakota,Bethune Cookman,L
Howard,Drexel,L
Oakland,Eastern Michigan,L
Fordham,St. John's,L
North Carolina Centr,Georgia Southern,L
Green Bay,Evansville,L
Nicholls St.,South Alabama,L
Utah Tech,Montana,L
Central Michigan,Valparaiso,L
Duquesne,Princeton,L
Murray St.,Evansville,W
La Salle,North Carolina,L
Stephen F. Austin,Monmouth,W
Notre Dame,Georgia,L
Louisville,Tennessee,L
UC Davis,Sacramento St.,W
Georgetown,UMBC,W
UCLA,Arizona,W
Boston College,Boise St.,W
Idaho St.,Cal St. Fullerton,L
Jacksonville,Georgia,L
Long Beach St.,San Francisco,L
Xavier,South Carolina St.,W
Louisiana,Southeastern Louisia,W
UCF,Tarleton St.,W
Middle Tennessee,Cal Baptist,W
Creighton,Georgetown,L
Vermont,Fairfield,L
Fordham,Seton Hall,W
Little Rock,Illinois Chicago,L
Incarnate Word,Duke,L
Queens,Utah,L
Brown,Rhode Island,W
Houston Christian,Rice,L
Stephen F. Austin,Drake,L
Tarleton St.,Oklahoma St.,L
Delaware St.,Delaware,L
Tulsa,Little Rock,L
Illinois Chicago,Northern Iowa,L
Denver,Stanford,L
Minnesota,Nebraska Omaha,W
Northern Kentucky,IU Indy,W
UNC Greensboro,North Carolina A&T,W
American,North Carolina,L
UCF,Cal Baptist,W
Maine,Navy,W
Morgan St.,Longwood,L
Rider,UCLA,L
Southern Utah,UT Rio Grande Valley,L
South Florida,Stetson,W
Utah Tech,Wyoming,L
Ball St.,Georgia St.,L
N.C. State,BYU,L
Coppin St.,N.C. State,L
Duquesne,South Dakota St.,L
Elon,Navy,W
UC Santa Barbara,Green Bay,W
IU Indy,South Carolina St.,L
South Carolina,North Florida,L
Saint Peter's,Iona,L
Arkansas Pine Bluff,Louisiana Monroe,L
Central Arkansas,Western Illinois,L
Charleston Southern,Georgia Tech,L
Stetson,East Carolina,L
Virginia Tech,Penn St.,L
Saint Louis,Quinnipiac,W
Sacred Heart,Dartmouth,L
Tennessee Martin,Longwood,L
Utah Valley,James Madison,L
Green Bay,Milwaukee,L
North Carolina A&T,Buffalo,L
UNC Greensboro,UTEP,L
Campbell,Ohio St.,L
Massachusetts,Florida St.,L
Duquesne,Lipscomb,L
Maine,Penn,L
Robert Morris,Ohio,L
San Diego,Fresno St.,L
Wyoming,Southeastern Louisia,W
The Citadel,Stetson,W
Temple,La Salle,L
Pacific,Cal St. Fullerton,W
Central Arkansas,Arkansas Pine Bluff,L
Marquette,Central Michigan,W
Temple,Davidson,W
Loyola Marymount,Prairie View A&M,W
Saint Francis,Clemson,L
Saint Joseph's,Texas,L
Utah,Saint Mary's,L
San Diego St.,San Diego,W
Central Arkansas,The Citadel,W
West Georgia,Samford,L
Minnesota,North Texas,L
Northern Illinois,Bradley,L
Illinois,Oakland,W
Western Michigan,South Dakota,L
UC Riverside,Cal St. Northridge,W
Utah Valley,North Dakota,L
Seton Hall,Wagner,W
Wright St.,Kentucky,L
Central Arkansas,Arkansas,L
Longwood,North Carolina Centr,L
Rhode Island,Brown,L
Stonehill,Notre Dame,L
Providence,Stonehill,W
West Georgia,Mississippi St.,L
Southern Indiana,Bucknell,L
Cal St. Northridge,Montana,L
Central Connecticut,Providence,L
LSU,SMU,L
Morgan St.,North Carolina A&T,L
New Hampshire,Sacred Heart,L
Idaho St.,Oral Roberts,W
VMI,Davidson,L
Cal St. Bakersfield,Southern Utah,L
Chattanooga,Austin Peay,L
Evansville,Chattanooga,L
Fairleigh Dickinson,Nebraska,L
SIU Edwardsville,North Florida,L
Radford,Pittsburgh,L
Arkansas Pine Bluff,Incarnate Word,L
Arkansas Pine Bluff,South Florida,L
Austin Peay,Georgia St.,W
Bellarmine,Marshall,L
Campbell,Green Bay,W
Eastern Washington,Colorado,L
Florida A&M,Florida,L
Hawaii,Grand Canyon,L
Lafayette,Villanova,L
Portland,South Florida,L
Rider,Bucknell,W
Seattle,Cal Poly,L
Temple,Hofstra,W
Utah Valley,Jacksonville St.,L
Hawaii,Weber St.,W
Western Illinois,Pepperdine,L
Akron,Milwaukee,L
Wake Forest,Minnesota,W
Minnesota,Wichita St.,L
Weber St.,Pepperdine,W
Tennessee Tech,VMI,W
St. Bonaventure,Buffalo,W
Cal Baptist,Middle Tennessee,L
